dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,ap,general_ledger_accounts,account_number,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ap,general_ledger_accounts,account_description,2,varchar,50,UNIQUE,NULL,NULL,NULL
mysql,ap,terms,terms_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ap,vendors,vendor_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ap,vendors,vendor_name,2,varchar,50,UNIQUE,NULL,NULL,NULL
mysql,ap,invoice_line_items,invoice_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ap,invoice_line_items,invoice_sequence,2,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ap,invoices,invoice_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ap,vendor_contacts,vendor_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ex,null_sample,invoice_id,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,ex,departments,department_number,1,int,NULL,UNIQUE,NULL,NULL,NULL
mysql,ex,color_sample,color_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ex,sales_reps,rep_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ex,sales_totals,rep_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,ex,sales_totals,sales_year,2,char,4,"PRIMARY KEY",NULL,NULL,NULL
mysql,om,customers,customer_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,om,items,item_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,om,items,title,2,varchar,50,UNIQUE,NULL,NULL,NULL
mysql,om,items,artist,3,varchar,50,UNIQUE,NULL,NULL,NULL
mysql,om,orders,order_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,om,order_details,order_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,om,order_details,item_id,2,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,imagineparkdb,zip,ZIPCode,1,char,5,"PRIMARY KEY",NULL,NULL,NULL
mysql,imagineparkdb,worker,WorkerID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,imagineparkdb,availabilty,WorkerID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,imagineparkdb,limitations,WorkerID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,imagineparkdb,skillset,WorkerID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
